Kürzel,/thyssenkrupp-aktie,/thyssenkrupp-aktie
Datum,ThyssenKrupp,ThyssenKrupp
19.02.04,19.02.04,"16,26"
18.02.04,18.02.04,"16,28"
17.02.04,17.02.04,"16,25"
16.02.04,16.02.04,"16,31"
13.02.04,13.02.04,"16,08"
12.02.04,12.02.04,"16,51"
11.02.04,11.02.04,"16,10"
10.02.04,10.02.04,"15,92"
09.02.04,09.02.04,"16,12"
06.02.04,06.02.04,"15,58"
05.02.04,05.02.04,"15,54"
04.02.04,04.02.04,"15,98"
03.02.04,03.02.04,"16,15"
02.02.04,02.02.04,"16,21"
30.01.04,30.01.04,"16,26"
29.01.04,29.01.04,"16,49"
28.01.04,28.01.04,"16,85"
27.01.04,27.01.04,"16,79"
26.01.04,26.01.04,"16,90"
23.01.04,23.01.04,"17,54"
22.01.04,22.01.04,"17,56"
21.01.04,21.01.04,"17,66"
20.01.04,20.01.04,"17,41"
19.01.04,19.01.04,"17,67"
16.01.04,16.01.04,"17,33"
15.01.04,15.01.04,"17,15"
14.01.04,14.01.04,"17,03"
13.01.04,13.01.04,"16,44"
12.01.04,12.01.04,"16,12"
09.01.04,09.01.04,"16,34"
08.01.04,08.01.04,"16,43"
07.01.04,07.01.04,"16,35"
06.01.04,06.01.04,"16,21"
05.01.04,05.01.04,"16,23"
02.01.04,02.01.04,"16,07"
01.01.04,01.01.04,"15,67"
31.12.03,31.12.03,"15,67"
30.12.03,30.12.03,"15,67"
29.12.03,29.12.03,"15,39"
26.12.03,26.12.03,"15,09"
25.12.03,25.12.03,"15,09"
24.12.03,24.12.03,"15,09"
23.12.03,23.12.03,"15,09"
22.12.03,22.12.03,"14,98"
19.12.03,19.12.03,"15,00"
18.12.03,18.12.03,"15,07"
17.12.03,17.12.03,"14,90"
16.12.03,16.12.03,"15,69"
15.12.03,15.12.03,"15,72"
12.12.03,12.12.03,"15,61"
11.12.03,11.12.03,"15,84"
10.12.03,10.12.03,"15,65"
09.12.03,09.12.03,"15,55"
08.12.03,08.12.03,"15,46"
05.12.03,05.12.03,"15,53"
04.12.03,04.12.03,"15,85"
03.12.03,03.12.03,"15,62"
02.12.03,02.12.03,"15,50"
01.12.03,01.12.03,"15,81"
28.11.03,28.11.03,"15,45"
27.11.03,27.11.03,"15,51"
26.11.03,26.11.03,"15,27"
25.11.03,25.11.03,"15,50"
24.11.03,24.11.03,"15,25"
21.11.03,21.11.03,"14,68"
20.11.03,20.11.03,"14,70"
19.11.03,19.11.03,"14,74"
18.11.03,18.11.03,"14,62"
17.11.03,17.11.03,"14,61"
14.11.03,14.11.03,"15,56"
13.11.03,13.11.03,"14,86"
12.11.03,12.11.03,"14,63"
11.11.03,11.11.03,"14,60"
10.11.03,10.11.03,"14,83"
07.11.03,07.11.03,"14,93"
06.11.03,06.11.03,"14,61"
05.11.03,05.11.03,"14,68"
04.11.03,04.11.03,"14,54"
03.11.03,03.11.03,"14,75"
31.10.03,31.10.03,"14,35"
30.10.03,30.10.03,"13,80"
29.10.03,29.10.03,"13,15"
28.10.03,28.10.03,"12,90"
27.10.03,27.10.03,"12,58"
24.10.03,24.10.03,"12,36"
23.10.03,23.10.03,"12,63"
22.10.03,22.10.03,"12,74"
21.10.03,21.10.03,"13,08"
20.10.03,20.10.03,"12,94"
17.10.03,17.10.03,"12,73"
16.10.03,16.10.03,"13,02"
15.10.03,15.10.03,"12,95"
14.10.03,14.10.03,"12,57"
13.10.03,13.10.03,"12,46"
10.10.03,10.10.03,"12,32"
09.10.03,09.10.03,"12,47"
08.10.03,08.10.03,"12,05"
07.10.03,07.10.03,"11,94"
06.10.03,06.10.03,"12,15"
03.10.03,03.10.03,"12,28"
02.10.03,02.10.03,"11,55"
01.10.03,01.10.03,"11,81"
30.09.03,30.09.03,"11,52"
29.09.03,29.09.03,"12,15"
26.09.03,26.09.03,"12,06"
25.09.03,25.09.03,"11,59"
24.09.03,24.09.03,"11,85"
23.09.03,23.09.03,"12,43"
22.09.03,22.09.03,"12,68"
19.09.03,19.09.03,"13,13"
18.09.03,18.09.03,"13,37"
17.09.03,17.09.03,"13,27"
16.09.03,16.09.03,"13,35"
15.09.03,15.09.03,"13,16"
12.09.03,12.09.03,"12,75"
11.09.03,11.09.03,"13,03"
10.09.03,10.09.03,"12,85"
09.09.03,09.09.03,"13,40"
08.09.03,08.09.03,"13,62"
05.09.03,05.09.03,"13,44"
04.09.03,04.09.03,"13,46"
03.09.03,03.09.03,"13,44"
02.09.03,02.09.03,"12,89"
01.09.03,01.09.03,"12,87"
29.08.03,29.08.03,"12,34"
28.08.03,28.08.03,"12,05"
27.08.03,27.08.03,"12,20"
26.08.03,26.08.03,"12,00"
25.08.03,25.08.03,"12,25"
22.08.03,22.08.03,"12,49"
21.08.03,21.08.03,"12,82"
20.08.03,20.08.03,"12,45"
19.08.03,19.08.03,"12,37"
18.08.03,18.08.03,"12,46"
15.08.03,15.08.03,"11,74"
14.08.03,14.08.03,"11,27"
13.08.03,13.08.03,"11,76"
12.08.03,12.08.03,"11,57"
11.08.03,11.08.03,"11,14"
08.08.03,08.08.03,"11,24"
07.08.03,07.08.03,"11,32"
06.08.03,06.08.03,"11,59"
05.08.03,05.08.03,"11,73"
04.08.03,04.08.03,"11,52"
01.08.03,01.08.03,"11,58"
31.07.03,31.07.03,"11,59"
30.07.03,30.07.03,"11,50"
29.07.03,29.07.03,"11,69"
28.07.03,28.07.03,"11,65"
25.07.03,25.07.03,"11,61"
24.07.03,24.07.03,"11,58"
23.07.03,23.07.03,"11,07"
22.07.03,22.07.03,"11,20"
21.07.03,21.07.03,"11,33"
18.07.03,18.07.03,"11,82"
17.07.03,17.07.03,"11,58"
16.07.03,16.07.03,"11,60"
15.07.03,15.07.03,"11,57"
14.07.03,14.07.03,"11,62"
11.07.03,11.07.03,"11,45"
10.07.03,10.07.03,"11,15"
09.07.03,09.07.03,"11,33"
08.07.03,08.07.03,"11,38"
07.07.03,07.07.03,"11,41"
04.07.03,04.07.03,"10,91"
03.07.03,03.07.03,"10,75"
02.07.03,02.07.03,"10,25"
01.07.03,01.07.03,"10,10"
30.06.03,30.06.03,"10,04"
27.06.03,27.06.03,"9,85"
26.06.03,26.06.03,"9,89"
25.06.03,25.06.03,"10,09"
24.06.03,24.06.03,"10,33"
23.06.03,23.06.03,"10,19"
20.06.03,20.06.03,"10,53"
19.06.03,19.06.03,"10,33"
18.06.03,18.06.03,"10,59"
17.06.03,17.06.03,"10,55"
16.06.03,16.06.03,"10,29"
13.06.03,13.06.03,"9,79"
12.06.03,12.06.03,"9,92"
11.06.03,11.06.03,"9,75"
10.06.03,10.06.03,"9,67"
09.06.03,09.06.03,"9,58"
06.06.03,06.06.03,"9,69"
05.06.03,05.06.03,"9,57"
04.06.03,04.06.03,"9,64"
03.06.03,03.06.03,"9,31"
02.06.03,02.06.03,"9,35"
30.05.03,30.05.03,"9,06"
29.05.03,29.05.03,"8,80"
28.05.03,28.05.03,"8,89"
27.05.03,27.05.03,"8,77"
26.05.03,26.05.03,"8,70"
23.05.03,23.05.03,"8,55"
22.05.03,22.05.03,"8,84"
21.05.03,21.05.03,"8,81"
20.05.03,20.05.03,"8,89"
19.05.03,19.05.03,"9,01"
16.05.03,16.05.03,"9,41"
15.05.03,15.05.03,"9,46"
14.05.03,14.05.03,"9,18"
13.05.03,13.05.03,"9,09"
12.05.03,12.05.03,"9,17"
09.05.03,09.05.03,"9,31"
08.05.03,08.05.03,"9,14"
07.05.03,07.05.03,"9,63"
06.05.03,06.05.03,"10,12"
05.05.03,05.05.03,"9,79"
02.05.03,02.05.03,"9,35"
01.05.03,01.05.03,"9,18"
30.04.03,30.04.03,"9,18"
29.04.03,29.04.03,"9,10"
28.04.03,28.04.03,"9,03"
25.04.03,25.04.03,"8,68"
24.04.03,24.04.03,"8,84"
23.04.03,23.04.03,"9,04"
22.04.03,22.04.03,"8,65"
21.04.03,21.04.03,"8,71"
18.04.03,18.04.03,"8,71"
17.04.03,17.04.03,"8,71"
16.04.03,16.04.03,"8,57"
15.04.03,15.04.03,"8,26"
14.04.03,14.04.03,"8,00"
11.04.03,11.04.03,"7,80"
10.04.03,10.04.03,"7,81"
09.04.03,09.04.03,"7,88"
08.04.03,08.04.03,"8,09"
07.04.03,07.04.03,"8,19"
04.04.03,04.04.03,"7,90"
03.04.03,03.04.03,"7,64"
02.04.03,02.04.03,"7,91"
01.04.03,01.04.03,"7,37"
31.03.03,31.03.03,"7,36"
28.03.03,28.03.03,"7,62"
27.03.03,27.03.03,"7,91"
26.03.03,26.03.03,"7,91"
25.03.03,25.03.03,"8,24"
24.03.03,24.03.03,"7,95"
21.03.03,21.03.03,"8,39"
20.03.03,20.03.03,"8,07"
19.03.03,19.03.03,"8,29"
18.03.03,18.03.03,"8,23"
17.03.03,17.03.03,"7,62"
14.03.03,14.03.03,"7,30"
13.03.03,13.03.03,"7,49"
12.03.03,12.03.03,"7,01"
11.03.03,11.03.03,"7,20"
10.03.03,10.03.03,"7,42"
07.03.03,07.03.03,"7,70"
06.03.03,06.03.03,"8,07"
05.03.03,05.03.03,"8,29"
04.03.03,04.03.03,"8,50"
03.03.03,03.03.03,"8,55"
28.02.03,28.02.03,"8,91"
27.02.03,27.02.03,"8,48"
26.02.03,26.02.03,"8,05"
25.02.03,25.02.03,"8,74"
24.02.03,24.02.03,"9,06"
21.02.03,21.02.03,"9,73"
20.02.03,20.02.03,"9,93"
19.02.03,19.02.03,"9,99"
18.02.03,18.02.03,"10,05"
17.02.03,17.02.03,"9,95"
14.02.03,14.02.03,"9,86"
13.02.03,13.02.03,"9,70"
12.02.03,12.02.03,"9,91"
11.02.03,11.02.03,"10,00"
10.02.03,10.02.03,"9,85"
07.02.03,07.02.03,"9,82"
06.02.03,06.02.03,"10,40"
05.02.03,05.02.03,"10,54"
04.02.03,04.02.03,"10,19"
03.02.03,03.02.03,"10,41"
31.01.03,31.01.03,"10,30"
30.01.03,30.01.03,"10,08"
29.01.03,29.01.03,"10,09"
28.01.03,28.01.03,"10,16"
27.01.03,27.01.03,"10,17"
24.01.03,24.01.03,"10,49"
23.01.03,23.01.03,"10,73"
22.01.03,22.01.03,"10,83"
21.01.03,21.01.03,"11,27"
20.01.03,20.01.03,"11,25"
17.01.03,17.01.03,"11,13"
16.01.03,16.01.03,"11,76"
15.01.03,15.01.03,"11,55"
14.01.03,14.01.03,"11,24"
13.01.03,13.01.03,"11,15"
10.01.03,10.01.03,"10,91"
09.01.03,09.01.03,"11,15"
08.01.03,08.01.03,"11,08"
07.01.03,07.01.03,"11,51"
06.01.03,06.01.03,"11,65"
03.01.03,03.01.03,"11,29"
02.01.03,02.01.03,"11,24"
01.01.03,01.01.03,"10,65"
31.12.02,31.12.02,"10,65"
30.12.02,30.12.02,"10,65"
27.12.02,27.12.02,"10,03"
26.12.02,26.12.02,"10,60"
25.12.02,25.12.02,"10,60"
24.12.02,24.12.02,"10,60"
23.12.02,23.12.02,"10,60"
20.12.02,20.12.02,"10,88"
19.12.02,19.12.02,"10,10"
18.12.02,18.12.02,"10,50"
17.12.02,17.12.02,"11,06"
16.12.02,16.12.02,"11,25"
13.12.02,13.12.02,"11,02"
12.12.02,12.12.02,"11,00"
11.12.02,11.12.02,"11,31"
10.12.02,10.12.02,"11,42"
09.12.02,09.12.02,"11,26"
06.12.02,06.12.02,"11,65"
05.12.02,05.12.02,"11,90"
04.12.02,04.12.02,"12,20"
03.12.02,03.12.02,"12,00"
02.12.02,02.12.02,"12,19"
29.11.02,29.11.02,"11,95"
28.11.02,28.11.02,"11,46"
27.11.02,27.11.02,"11,19"
26.11.02,26.11.02,"10,83"
25.11.02,25.11.02,"10,94"
22.11.02,22.11.02,"10,65"
21.11.02,21.11.02,"10,49"
20.11.02,20.11.02,"10,03"
19.11.02,19.11.02,"9,99"
18.11.02,18.11.02,"9,98"
15.11.02,15.11.02,"9,99"
14.11.02,14.11.02,"10,11"
13.11.02,13.11.02,"10,00"
12.11.02,12.11.02,"10,56"
11.11.02,11.11.02,"10,70"
08.11.02,08.11.02,"10,85"
07.11.02,07.11.02,"10,70"
06.11.02,06.11.02,"10,90"
05.11.02,05.11.02,"10,67"
04.11.02,04.11.02,"10,77"
01.11.02,01.11.02,"10,50"
31.10.02,31.10.02,"10,57"
30.10.02,30.10.02,"10,34"
29.10.02,29.10.02,"10,69"
28.10.02,28.10.02,"11,28"
25.10.02,25.10.02,"11,15"
24.10.02,24.10.02,"11,49"
23.10.02,23.10.02,"11,25"
22.10.02,22.10.02,"11,44"
21.10.02,21.10.02,"11,98"
18.10.02,18.10.02,"11,94"
17.10.02,17.10.02,"12,00"
16.10.02,16.10.02,"11,42"
15.10.02,15.10.02,"10,96"
14.10.02,14.10.02,"10,58"
11.10.02,11.10.02,"10,51"
10.10.02,10.10.02,"9,76"
09.10.02,09.10.02,"9,29"
08.10.02,08.10.02,"9,32"
07.10.02,07.10.02,"9,48"
04.10.02,04.10.02,"10,08"
03.10.02,03.10.02,"10,05"
02.10.02,02.10.02,"10,35"
01.10.02,01.10.02,"10,61"
30.09.02,30.09.02,"11,20"
27.09.02,27.09.02,"11,30"
26.09.02,26.09.02,"11,40"
25.09.02,25.09.02,"11,20"
24.09.02,24.09.02,"10,87"
23.09.02,23.09.02,"11,19"
20.09.02,20.09.02,"11,91"
19.09.02,19.09.02,"11,51"
18.09.02,18.09.02,"12,12"
17.09.02,17.09.02,"12,55"
16.09.02,16.09.02,"12,56"
13.09.02,13.09.02,"12,66"
12.09.02,12.09.02,"12,84"
11.09.02,11.09.02,"12,84"
10.09.02,10.09.02,"12,65"
09.09.02,09.09.02,"11,87"
06.09.02,06.09.02,"12,34"
05.09.02,05.09.02,"11,99"
04.09.02,04.09.02,"12,11"
03.09.02,03.09.02,"12,60"
02.09.02,02.09.02,"13,60"
30.08.02,30.08.02,"13,44"
29.08.02,29.08.02,"13,49"
28.08.02,28.08.02,"13,72"
27.08.02,27.08.02,"13,71"
26.08.02,26.08.02,"13,81"
23.08.02,23.08.02,"13,83"
22.08.02,22.08.02,"13,95"
21.08.02,21.08.02,"13,30"
20.08.02,20.08.02,"12,88"
19.08.02,19.08.02,"12,39"
16.08.02,16.08.02,"12,25"
15.08.02,15.08.02,"12,61"
14.08.02,14.08.02,"12,43"
13.08.02,13.08.02,"12,69"
12.08.02,12.08.02,"12,78"
09.08.02,09.08.02,"12,80"
08.08.02,08.08.02,"12,69"
07.08.02,07.08.02,"11,97"
06.08.02,06.08.02,"12,59"
05.08.02,05.08.02,"12,17"
02.08.02,02.08.02,"13,08"
01.08.02,01.08.02,"13,16"
31.07.02,31.07.02,"13,21"
30.07.02,30.07.02,"13,50"
29.07.02,29.07.02,"13,41"
26.07.02,26.07.02,"12,52"
25.07.02,25.07.02,"12,39"
24.07.02,24.07.02,"12,90"
23.07.02,23.07.02,"12,67"
22.07.02,22.07.02,"12,90"
19.07.02,19.07.02,"13,64"
18.07.02,18.07.02,"14,17"
17.07.02,17.07.02,"14,09"
16.07.02,16.07.02,"14,04"
15.07.02,15.07.02,"14,08"
12.07.02,12.07.02,"14,29"
11.07.02,11.07.02,"14,55"
10.07.02,10.07.02,"14,63"
09.07.02,09.07.02,"15,20"
08.07.02,08.07.02,"14,90"
05.07.02,05.07.02,"15,17"
04.07.02,04.07.02,"14,79"
03.07.02,03.07.02,"14,98"
02.07.02,02.07.02,"15,01"
01.07.02,01.07.02,"15,52"
28.06.02,28.06.02,"15,30"
27.06.02,27.06.02,"15,44"
26.06.02,26.06.02,"14,86"
25.06.02,25.06.02,"15,19"
24.06.02,24.06.02,"15,46"
21.06.02,21.06.02,"15,57"
20.06.02,20.06.02,"16,00"
19.06.02,19.06.02,"16,50"
18.06.02,18.06.02,"16,44"
17.06.02,17.06.02,"16,61"
14.06.02,14.06.02,"16,27"
13.06.02,13.06.02,"16,95"
12.06.02,12.06.02,"17,02"
11.06.02,11.06.02,"17,17"
10.06.02,10.06.02,"17,29"
07.06.02,07.06.02,"17,12"
06.06.02,06.06.02,"17,39"
05.06.02,05.06.02,"17,25"
04.06.02,04.06.02,"17,27"
03.06.02,03.06.02,"17,45"
31.05.02,31.05.02,"17,36"
30.05.02,30.05.02,"17,51"
29.05.02,29.05.02,"17,52"
28.05.02,28.05.02,"17,59"
27.05.02,27.05.02,"17,35"
24.05.02,24.05.02,"17,18"
23.05.02,23.05.02,"17,21"
22.05.02,22.05.02,"17,38"
21.05.02,21.05.02,"17,45"
20.05.02,20.05.02,"16,95"
17.05.02,17.05.02,"17,14"
16.05.02,16.05.02,"17,40"
15.05.02,15.05.02,"16,97"
14.05.02,14.05.02,"16,96"
13.05.02,13.05.02,"16,90"
10.05.02,10.05.02,"16,72"
09.05.02,09.05.02,"16,60"
08.05.02,08.05.02,"16,77"
07.05.02,07.05.02,"16,49"
06.05.02,06.05.02,"16,70"
03.05.02,03.05.02,"16,60"
02.05.02,02.05.02,"16,80"
01.05.02,01.05.02,"16,79"
30.04.02,30.04.02,"16,79"
29.04.02,29.04.02,"17,00"
26.04.02,26.04.02,"16,89"
25.04.02,25.04.02,"17,01"
24.04.02,24.04.02,"17,22"
23.04.02,23.04.02,"17,09"
22.04.02,22.04.02,"17,35"
19.04.02,19.04.02,"17,51"
18.04.02,18.04.02,"17,41"
17.04.02,17.04.02,"17,50"
16.04.02,16.04.02,"17,62"
15.04.02,15.04.02,"17,29"
12.04.02,12.04.02,"17,20"
11.04.02,11.04.02,"17,05"
10.04.02,10.04.02,"17,24"
09.04.02,09.04.02,"17,46"
08.04.02,08.04.02,"17,59"
05.04.02,05.04.02,"17,65"
04.04.02,04.04.02,"17,51"
03.04.02,03.04.02,"17,63"
02.04.02,02.04.02,"18,08"
01.04.02,01.04.02,"18,03"
29.03.02,29.03.02,"18,03"
28.03.02,28.03.02,"18,03"
27.03.02,27.03.02,"17,94"
26.03.02,26.03.02,"18,04"
25.03.02,25.03.02,"17,96"
22.03.02,22.03.02,"18,07"
21.03.02,21.03.02,"18,00"
20.03.02,20.03.02,"18,18"
19.03.02,19.03.02,"18,50"
18.03.02,18.03.02,"18,39"
15.03.02,15.03.02,"18,09"
14.03.02,14.03.02,"17,69"
13.03.02,13.03.02,"17,69"
12.03.02,12.03.02,"17,91"
11.03.02,11.03.02,"18,00"
08.03.02,08.03.02,"17,60"
07.03.02,07.03.02,"17,30"
06.03.02,06.03.02,"17,18"
05.03.02,05.03.02,"17,29"
04.03.02,04.03.02,"17,81"
01.03.02,01.03.02,"17,55"
28.02.02,28.02.02,"17,35"
27.02.02,27.02.02,"17,30"
26.02.02,26.02.02,"17,26"
25.02.02,25.02.02,"16,85"
22.02.02,22.02.02,"16,74"
21.02.02,21.02.02,"16,60"
20.02.02,20.02.02,"16,48"
19.02.02,19.02.02,"16,48"
18.02.02,18.02.02,"16,70"
15.02.02,15.02.02,"16,48"
14.02.02,14.02.02,"16,61"
13.02.02,13.02.02,"16,30"
12.02.02,12.02.02,"16,19"
11.02.02,11.02.02,"16,28"
08.02.02,08.02.02,"16,36"
07.02.02,07.02.02,"16,39"
06.02.02,06.02.02,"16,35"
05.02.02,05.02.02,"16,98"
04.02.02,04.02.02,"17,07"
01.02.02,01.02.02,"16,77"
31.01.02,31.01.02,"16,35"
30.01.02,30.01.02,"16,25"
29.01.02,29.01.02,"16,50"
28.01.02,28.01.02,"16,65"
25.01.02,25.01.02,"16,39"
24.01.02,24.01.02,"16,28"
23.01.02,23.01.02,"16,16"
22.01.02,22.01.02,"16,00"
21.01.02,21.01.02,"16,42"
18.01.02,18.01.02,"16,59"
17.01.02,17.01.02,"16,40"
16.01.02,16.01.02,"16,01"
15.01.02,15.01.02,"16,33"
14.01.02,14.01.02,"16,69"
11.01.02,11.01.02,"16,98"
10.01.02,10.01.02,"17,34"
09.01.02,09.01.02,"17,41"
08.01.02,08.01.02,"17,19"
07.01.02,07.01.02,"17,16"
04.01.02,04.01.02,"17,26"
03.01.02,03.01.02,"16,98"
02.01.02,02.01.02,"16,55"
01.01.02,01.01.02,"16,39"
31.12.01,31.12.01,"16,39"
28.12.01,28.12.01,"16,39"
27.12.01,27.12.01,"16,21"
26.12.01,26.12.01,"16,01"
25.12.01,25.12.01,"16,01"
24.12.01,24.12.01,"16,01"
21.12.01,21.12.01,"16,01"
20.12.01,20.12.01,"15,72"
19.12.01,19.12.01,"16,29"
18.12.01,18.12.01,"16,48"
17.12.01,17.12.01,"16,45"
14.12.01,14.12.01,"16,10"
13.12.01,13.12.01,"16,11"
12.12.01,12.12.01,"16,65"
11.12.01,11.12.01,"16,48"
10.12.01,10.12.01,"16,72"
07.12.01,07.12.01,"16,89"
06.12.01,06.12.01,"17,15"
05.12.01,05.12.01,"17,31"
04.12.01,04.12.01,"16,06"
03.12.01,03.12.01,"16,07"
30.11.01,30.11.01,"15,59"
29.11.01,29.11.01,"15,77"
28.11.01,28.11.01,"15,50"
27.11.01,27.11.01,"15,99"
26.11.01,26.11.01,"16,00"
23.11.01,23.11.01,"15,53"
22.11.01,22.11.01,"15,37"
21.11.01,21.11.01,"15,29"
20.11.01,20.11.01,"15,44"
19.11.01,19.11.01,"15,66"
16.11.01,16.11.01,"15,37"
15.11.01,15.11.01,"15,34"
14.11.01,14.11.01,"14,65"
13.11.01,13.11.01,"14,49"
12.11.01,12.11.01,"13,65"
09.11.01,09.11.01,"13,75"
08.11.01,08.11.01,"13,90"
07.11.01,07.11.01,"13,18"
06.11.01,06.11.01,"12,35"
05.11.01,05.11.01,"12,16"
02.11.01,02.11.01,"11,86"
01.11.01,01.11.01,"12,23"
31.10.01,31.10.01,"12,00"
30.10.01,30.10.01,"11,79"
29.10.01,29.10.01,"11,94"
26.10.01,26.10.01,"12,13"
25.10.01,25.10.01,"11,98"
24.10.01,24.10.01,"11,91"
23.10.01,23.10.01,"11,72"
22.10.01,22.10.01,"11,84"
19.10.01,19.10.01,"11,42"
18.10.01,18.10.01,"11,51"
17.10.01,17.10.01,"12,00"
16.10.01,16.10.01,"12,82"
15.10.01,15.10.01,"12,80"
12.10.01,12.10.01,"12,99"
11.10.01,11.10.01,"13,10"
10.10.01,10.10.01,"12,25"
09.10.01,09.10.01,"12,25"
08.10.01,08.10.01,"12,25"
05.10.01,05.10.01,"11,55"
04.10.01,04.10.01,"11,99"
03.10.01,03.10.01,"11,62"
02.10.01,02.10.01,"11,64"
01.10.01,01.10.01,"11,34"
28.09.01,28.09.01,"11,30"
27.09.01,27.09.01,"11,05"
26.09.01,26.09.01,"10,45"
25.09.01,25.09.01,"10,45"
24.09.01,24.09.01,"10,62"
21.09.01,21.09.01,"10,26"
20.09.01,20.09.01,"9,93"
19.09.01,19.09.01,"11,20"
18.09.01,18.09.01,"11,83"
17.09.01,17.09.01,"11,90"
14.09.01,14.09.01,"12,17"
13.09.01,13.09.01,"12,96"
12.09.01,12.09.01,"13,10"
11.09.01,11.09.01,"13,46"
10.09.01,10.09.01,"14,05"
07.09.01,07.09.01,"14,26"
06.09.01,06.09.01,"14,50"
05.09.01,05.09.01,"14,69"
04.09.01,04.09.01,"14,92"
03.09.01,03.09.01,"14,69"
31.08.01,31.08.01,"14,90"
30.08.01,30.08.01,"15,00"
29.08.01,29.08.01,"15,08"
28.08.01,28.08.01,"15,16"
27.08.01,27.08.01,"15,10"
24.08.01,24.08.01,"15,07"
23.08.01,23.08.01,"14,75"
22.08.01,22.08.01,"14,79"
21.08.01,21.08.01,"14,78"
20.08.01,20.08.01,"14,95"
17.08.01,17.08.01,"14,98"
16.08.01,16.08.01,"15,22"
15.08.01,15.08.01,"15,47"
14.08.01,14.08.01,"15,40"
13.08.01,13.08.01,"15,58"
10.08.01,10.08.01,"15,66"
09.08.01,09.08.01,"15,68"
08.08.01,08.08.01,"15,75"
07.08.01,07.08.01,"15,67"
06.08.01,06.08.01,"15,42"
03.08.01,03.08.01,"15,52"
02.08.01,02.08.01,"15,60"
01.08.01,01.08.01,"15,77"
31.07.01,31.07.01,"15,81"
30.07.01,30.07.01,"15,44"
27.07.01,27.07.01,"15,35"
26.07.01,26.07.01,"15,18"
25.07.01,25.07.01,"15,05"
24.07.01,24.07.01,"15,32"
23.07.01,23.07.01,"15,42"
20.07.01,20.07.01,"15,40"
19.07.01,19.07.01,"15,32"
18.07.01,18.07.01,"15,22"
17.07.01,17.07.01,"15,58"
16.07.01,16.07.01,"15,61"
13.07.01,13.07.01,"15,85"
12.07.01,12.07.01,"15,58"
11.07.01,11.07.01,"15,27"
10.07.01,10.07.01,"15,66"
09.07.01,09.07.01,"15,76"
06.07.01,06.07.01,"15,87"
05.07.01,05.07.01,"16,02"
04.07.01,04.07.01,"15,77"
03.07.01,03.07.01,"15,77"
02.07.01,02.07.01,"15,57"
29.06.01,29.06.01,"15,50"
28.06.01,28.06.01,"15,13"
27.06.01,27.06.01,"15,06"
26.06.01,26.06.01,"15,29"
25.06.01,25.06.01,"15,11"
22.06.01,22.06.01,"15,32"
21.06.01,21.06.01,"15,24"
20.06.01,20.06.01,"15,32"
19.06.01,19.06.01,"15,69"
18.06.01,18.06.01,"15,36"
15.06.01,15.06.01,"15,73"
14.06.01,14.06.01,"16,17"
13.06.01,13.06.01,"16,30"
12.06.01,12.06.01,"16,15"
11.06.01,11.06.01,"16,75"
08.06.01,08.06.01,"16,98"
07.06.01,07.06.01,"16,87"
06.06.01,06.06.01,"17,11"
05.06.01,05.06.01,"17,62"
04.06.01,04.06.01,"17,50"
01.06.01,01.06.01,"17,47"
31.05.01,31.05.01,"16,89"
30.05.01,30.05.01,"17,08"
29.05.01,29.05.01,"17,31"
28.05.01,28.05.01,"17,91"
25.05.01,25.05.01,"17,87"
24.05.01,24.05.01,"17,99"
23.05.01,23.05.01,"17,92"
22.05.01,22.05.01,"18,26"
21.05.01,21.05.01,"18,26"
18.05.01,18.05.01,"18,40"
17.05.01,17.05.01,"18,21"
16.05.01,16.05.01,"17,52"
15.05.01,15.05.01,"17,17"
14.05.01,14.05.01,"17,16"
11.05.01,11.05.01,"17,10"
10.05.01,10.05.01,"17,06"
09.05.01,09.05.01,"17,18"
08.05.01,08.05.01,"16,77"
07.05.01,07.05.01,"16,66"
04.05.01,04.05.01,"16,98"
03.05.01,03.05.01,"17,35"
02.05.01,02.05.01,"17,55"
01.05.01,01.05.01,"17,53"
30.04.01,30.04.01,"17,53"
27.04.01,27.04.01,"17,36"
26.04.01,26.04.01,"17,40"
25.04.01,25.04.01,"17,35"
24.04.01,24.04.01,"17,51"
23.04.01,23.04.01,"17,40"
20.04.01,20.04.01,"17,40"
19.04.01,19.04.01,"17,27"
18.04.01,18.04.01,"16,98"
17.04.01,17.04.01,"16,71"
16.04.01,16.04.01,"16,68"
13.04.01,13.04.01,"16,68"
12.04.01,12.04.01,"16,68"
11.04.01,11.04.01,"16,50"
10.04.01,10.04.01,"16,67"
09.04.01,09.04.01,"15,60"
06.04.01,06.04.01,"15,29"
05.04.01,05.04.01,"15,60"
04.04.01,04.04.01,"15,55"
03.04.01,03.04.01,"15,93"
02.04.01,02.04.01,"16,48"
30.03.01,30.03.01,"16,49"
29.03.01,29.03.01,"16,67"
28.03.01,28.03.01,"16,67"
27.03.01,27.03.01,"16,19"
26.03.01,26.03.01,"15,66"
23.03.01,23.03.01,"14,98"
22.03.01,22.03.01,"15,00"
21.03.01,21.03.01,"15,43"
20.03.01,20.03.01,"16,45"
19.03.01,19.03.01,"16,82"
16.03.01,16.03.01,"16,84"
15.03.01,15.03.01,"17,48"
14.03.01,14.03.01,"17,24"
13.03.01,13.03.01,"17,50"
12.03.01,12.03.01,"17,85"
09.03.01,09.03.01,"18,25"
08.03.01,08.03.01,"18,00"
07.03.01,07.03.01,"18,01"
06.03.01,06.03.01,"17,90"
05.03.01,05.03.01,"18,15"
