Datum,/apple-aktie,/apple-aktie.1,/wirecard-aktie,/wirecard-aktie.1
30.08.2018,30.08.2018,192.36,30.08.2018,191.2
29.08.2018,29.08.2018,189.79,29.08.2018,191.4
28.08.2018,28.08.2018,187.34,28.08.2018,192.2
27.08.2018,27.08.2018,186.9,27.08.2018,194.25
24.08.2018,24.08.2018,186.06,24.08.2018,188.4
23.08.2018,23.08.2018,186.16,23.08.2018,186.45
22.08.2018,22.08.2018,186.24,22.08.2018,180.9
21.08.2018,21.08.2018,187.47,21.08.2018,180.8
20.08.2018,20.08.2018,188.72,20.08.2018,184.6
17.08.2018,17.08.2018,189.4,17.08.2018,178.8
16.08.2018,16.08.2018,187.26,16.08.2018,176.2
15.08.2018,15.08.2018,184.87,15.08.2018,161.25
14.08.2018,14.08.2018,184.15,14.08.2018,170.35
13.08.2018,13.08.2018,183.96,13.08.2018,169.8
10.08.2018,10.08.2018,182.6,10.08.2018,168.55
09.08.2018,09.08.2018,180.66,09.08.2018,168.45
08.08.2018,08.08.2018,178.69,08.08.2018,166.5
07.08.2018,07.08.2018,178.23,07.08.2018,164.9
06.08.2018,06.08.2018,179.94,06.08.2018,166.15
03.08.2018,03.08.2018,178.56,03.08.2018,164.0
02.08.2018,02.08.2018,178.22,02.08.2018,161.85
01.08.2018,01.08.2018,171.28,01.08.2018,160.8
31.07.2018,31.07.2018,162.48,31.07.2018,159.75
30.07.2018,30.07.2018,161.85,30.07.2018,160.15
27.07.2018,27.07.2018,166.54,27.07.2018,161.9
26.07.2018,26.07.2018,166.84,26.07.2018,163.05
25.07.2018,25.07.2018,165.5,25.07.2018,160.0
24.07.2018,24.07.2018,164.46,24.07.2018,159.9
23.07.2018,23.07.2018,162.87,23.07.2018,159.45
20.07.2018,20.07.2018,164.14,20.07.2018,155.6
19.07.2018,19.07.2018,165.81,19.07.2018,153.95
18.07.2018,18.07.2018,163.55,18.07.2018,155.2
17.07.2018,17.07.2018,162.95,17.07.2018,153.9
16.07.2018,16.07.2018,163.23,16.07.2018,153.7
13.07.2018,13.07.2018,164.23,13.07.2018,151.95
12.07.2018,12.07.2018,163.01,12.07.2018,152.0
11.07.2018,11.07.2018,160.74,11.07.2018,147.75
10.07.2018,10.07.2018,162.67,10.07.2018,149.1
09.07.2018,09.07.2018,161.84,09.07.2018,145.55
06.07.2018,06.07.2018,159.57,06.07.2018,143.8
05.07.2018,05.07.2018,158.56,05.07.2018,144.05
04.07.2018,04.07.2018,158.55,04.07.2018,137.8
03.07.2018,03.07.2018,160.17,03.07.2018,137.15
02.07.2018,02.07.2018,160.33,02.07.2018,135.75
29.06.2018,29.06.2018,159.6,29.06.2018,137.95
28.06.2018,28.06.2018,159.91,28.06.2018,135.4
27.06.2018,27.06.2018,161.21,27.06.2018,144.5
26.06.2018,26.06.2018,158.29,26.06.2018,145.5
25.06.2018,25.06.2018,155.94,25.06.2018,139.45
22.06.2018,22.06.2018,159.32,22.06.2018,147.2
21.06.2018,21.06.2018,160.94,21.06.2018,147.0
20.06.2018,20.06.2018,161.47,20.06.2018,147.5
19.06.2018,19.06.2018,158.53,19.06.2018,143.75
